"","naics2","PWCOUNTY","PERWT.sum","cntyind","ainsemp","p_ainsemp","einsemp","p_einsemp","looking4work","p_looking4work","trantime","NPBOSS90","SEI","HWSEI","PRENT","PRESGL","UHRSWORK","WKSWORK1","p_burd"
"54",44,111,25838,"11144",23747,0.919072683644245,15556,0.602058982893413,481,0.0186159919498413,19.4335474881957,382.812678999923,48.8533555228733,3193.05979564982,387.510952860128,384.056041489279,34.888304048301,46.6168821116185,0.252174599345254
"55",45,25,1873,"2545",1873,1,1471,0.785371062466631,NA,NA,9.58675920982381,256.680192205019,37.9273892151628,2851.25787506674,320.589428723972,325.692471970101,34.0453817405232,50.3085958355579,0.14712522127946
"56",45,37,145407,"3745",129006,0.887206255544781,81202,0.558446292131741,1367,0.00940119801660168,21.2299889276307,374.919770024827,46.7243461456464,3174.03237808359,374.691012124588,372.770760692401,35.2069845330692,44.875824410104,0.283686395507663
"57",45,59,50169,"5945",45919,0.915286332197174,31272,0.623333134007056,554,0.0110426757559449,20.0005182483207,384.449939205485,48.7447228368116,3203.22862723993,382.640275867568,382.680101257749,33.4462118041021,44.7093623552393,0.281690458864027
"58",45,65,41259,"6545",39008,0.945442206548874,28706,0.695751230034659,448,0.0108582369907172,23.0565694757507,327.764463510992,39.8598124045663,2919.65188201362,341.371773431251,345.229816524879,36.9027363726702,45.6088853341089,0.231084991679833
"59",45,71,44818,"7145",38972,0.869561336962827,27039,0.603306707126601,147,0.00327993217011022,24.3016645097952,331.560132089785,38.994979695658,2943.33830157526,344.154982373154,340.411888080682,34.9699451113392,45.9810344058191,0.202408098261161
"60",45,111,12939,"11145",11419,0.882525697503671,7398,0.571759795965685,187,0.0144524306360615,18.454208207744,381.649663807095,45.7446479635211,3213.88623541232,377.14784759255,370.659401808486,33.2278383182626,44.5671999381714,0.271714022852509
"61",48,25,726,"2548",726,1,561,0.772727272727273,NA,NA,15.004132231405,325.823691460055,18.0977961432507,2562.86639118457,341.865013774105,319.873278236915,46.3512396694215,52,0.241065377843676
"62",48,37,166535,"3748",141994,0.852637583691116,98260,0.590026120635302,2062,0.0123817816074699,29.5524424295193,408.61361875882,30.1086138049059,3156.41937130333,363.706229921638,343.534950610983,41.5834629357192,47.3058576275257,0.249635686895227
"63",48,59,26856,"5948",24090,0.897006255585344,16203,0.603328865058088,515,0.0191763479296991,22.7242701817099,412.759830205541,30.4896484956807,3187.09886058981,365.454795948764,347.234696157283,40.4785522788204,48.1650655347036,0.241821123831072
